Ticker,close,date,high,low,month,open,volume,Sector
ITC,439.75,2023-10-03 05:30:00,442.9,439.25,2023-10,441.0,7481883,FMCG
ITC,436.1,2023-10-04 05:30:00,441.7,433.3,2023-10,439.75,13396709,FMCG
ITC,436.05,2023-10-05 05:30:00,440.5,435.05,2023-10,440.0,10030257,FMCG
ITC,442.15,2023-10-06 05:30:00,443.6,436.65,2023-10,437.85,8418580,FMCG
ITC,440.45,2023-10-09 05:30:00,443.2,437.25,2023-10,440.95,5611154,FMCG
ITC,444.4,2023-10-10 05:30:00,444.85,440.45,2023-10,440.45,5014758,FMCG
ITC,448.25,2023-10-11 05:30:00,449.45,444.8,2023-10,447.2,7651513,FMCG
ITC,450.7,2023-10-12 05:30:00,452.5,446.15,2023-10,449.65,11774487,FMCG
ITC,448.35,2023-10-13 05:30:00,451.8,447.0,2023-10,449.85,7632483,FMCG
ITC,448.95,2023-10-16 05:30:00,451.0,446.2,2023-10,448.0,4214958,FMCG
ITC,453.45,2023-10-17 05:30:00,454.5,449.0,2023-10,449.8,6936218,FMCG
ITC,451.65,2023-10-18 05:30:00,458.2,451.0,2023-10,454.25,6894947,FMCG
ITC,450.4,2023-10-19 05:30:00,454.9,446.85,2023-10,449.75,9465463,FMCG
ITC,438.3,2023-10-20 05:30:00,449.0,437.35,2023-10,445.0,13020371,FMCG
ITC,435.9,2023-10-23 05:30:00,439.95,433.1,2023-10,438.0,7275471,FMCG
ITC,432.7,2023-10-25 05:30:00,438.0,427.05,2023-10,436.9,10889221,FMCG
ITC,434.35,2023-10-26 05:30:00,436.6,429.55,2023-10,429.55,18801214,FMCG
ITC,433.75,2023-10-27 05:30:00,436.8,432.2,2023-10,434.35,13132487,FMCG
ITC,430.45,2023-10-30 05:30:00,437.15,428.35,2023-10,434.55,7618033,FMCG
ITC,428.4,2023-10-31 05:30:00,433.35,427.9,2023-10,430.0,8620154,FMCG
ITC,428.1,2023-11-01 05:30:00,431.1,425.5,2023-11,430.0,7990245,FMCG
ITC,431.15,2023-11-02 05:30:00,432.7,428.65,2023-11,430.05,8152031,FMCG
ITC,433.25,2023-11-03 05:30:00,434.4,431.1,2023-11,432.8,13802600,FMCG
ITC,435.35,2023-11-06 05:30:00,436.8,432.55,2023-11,433.5,7308229,FMCG
ITC,432.7,2023-11-07 05:30:00,434.9,432.15,2023-11,434.9,5124012,FMCG
ITC,436.95,2023-11-08 05:30:00,437.5,432.3,2023-11,433.15,6979849,FMCG
ITC,434.4,2023-11-09 05:30:00,438.0,433.9,2023-11,437.8,7785767,FMCG
ITC,436.55,2023-11-10 05:30:00,438.0,432.5,2023-11,434.4,4079205,FMCG
ITC,438.45,2023-11-12 05:30:00,439.2,438.0,2023-11,438.85,1181310,FMCG
ITC,436.0,2023-11-13 05:30:00,438.4,435.0,2023-11,438.4,3744754,FMCG
ITC,441.95,2023-11-15 05:30:00,442.5,437.5,2023-11,438.1,7436428,FMCG
ITC,438.65,2023-11-16 05:30:00,444.5,437.6,2023-11,441.95,10857863,FMCG
ITC,439.25,2023-11-17 05:30:00,441.5,438.3,2023-11,439.25,6655278,FMCG
ITC,436.8,2023-11-20 05:30:00,440.3,434.5,2023-11,439.85,4335388,FMCG
ITC,436.25,2023-11-21 05:30:00,439.3,435.5,2023-11,437.15,5997810,FMCG
ITC,439.7,2023-11-22 05:30:00,440.4,434.8,2023-11,437.0,4886687,FMCG
ITC,440.35,2023-11-23 05:30:00,442.25,438.25,2023-11,440.95,6366606,FMCG
ITC,437.8,2023-11-24 05:30:00,442.25,436.85,2023-11,441.0,6821878,FMCG
ITC,435.25,2023-11-28 05:30:00,439.0,434.9,2023-11,438.0,8745691,FMCG
ITC,437.2,2023-11-29 05:30:00,438.5,434.15,2023-11,436.0,13785216,FMCG
ITC,435.8,2023-11-30 05:30:00,438.45,434.5,2023-11,436.7,15127505,FMCG
ITC,449.8,2023-12-01 05:30:00,450.95,437.4,2023-12,437.9,19336856,FMCG
ITC,454.05,2023-12-04 05:30:00,456.4,451.0,2023-12,455.0,12800220,FMCG
ITC,451.75,2023-12-05 05:30:00,457.8,450.1,2023-12,455.0,12136292,FMCG
ITC,463.25,2023-12-06 05:30:00,464.5,452.1,2023-12,453.9,20417559,FMCG
ITC,458.1,2023-12-07 05:30:00,464.8,457.4,2023-12,464.75,11310918,FMCG
ITC,449.15,2023-12-08 05:30:00,461.6,448.5,2023-12,459.95,18667895,FMCG
ITC,452.45,2023-12-11 05:30:00,453.6,449.3,2023-12,451.5,6599973,FMCG
ITC,453.1,2023-12-12 05:30:00,460.0,452.35,2023-12,454.2,10158101,FMCG
ITC,455.65,2023-12-13 05:30:00,458.85,453.1,2023-12,456.3,11283868,FMCG
ITC,460.1,2023-12-14 05:30:00,461.0,449.45,2023-12,460.0,14370803,FMCG
ITC,458.2,2023-12-15 05:30:00,462.95,455.0,2023-12,461.9,15789845,FMCG
ITC,451.65,2023-12-18 05:30:00,456.0,450.35,2023-12,455.0,12027620,FMCG
ITC,456.1,2023-12-19 05:30:00,458.0,452.05,2023-12,453.35,10268755,FMCG
ITC,451.0,2023-12-20 05:30:00,459.25,449.3,2023-12,459.0,10367665,FMCG
ITC,451.45,2023-12-21 05:30:00,453.75,444.45,2023-12,449.0,11154625,FMCG
ITC,455.2,2023-12-22 05:30:00,455.9,450.55,2023-12,453.0,11026317,FMCG
ITC,456.45,2023-12-26 05:30:00,458.9,454.7,2023-12,456.05,5871301,FMCG
ITC,457.1,2023-12-27 05:30:00,458.5,453.75,2023-12,457.0,7543383,FMCG
ITC,464.1,2023-12-28 05:30:00,464.7,456.1,2023-12,457.2,20696101,FMCG
ITC,462.1,2023-12-29 05:30:00,467.9,461.35,2023-12,464.1,12888266,FMCG
ITC,468.05,2024-01-01 05:30:00,469.95,462.65,2024-01,463.5,9346277,FMCG
ITC,470.35,2024-01-02 05:30:00,471.35,463.6,2024-01,470.0,10519771,FMCG
ITC,477.25,2024-01-03 05:30:00,480.7,469.35,2024-01,470.25,24036012,FMCG
ITC,476.4,2024-01-04 05:30:00,481.45,474.2,2024-01,480.0,11786959,FMCG
ITC,473.95,2024-01-05 05:30:00,479.4,472.0,2024-01,479.4,9209405,FMCG
ITC,465.5,2024-01-08 05:30:00,475.5,464.55,2024-01,475.0,8003177,FMCG
ITC,464.55,2024-01-09 05:30:00,469.95,463.65,2024-01,467.5,5696780,FMCG
ITC,463.3,2024-01-10 05:30:00,466.75,460.05,2024-01,464.55,5896123,FMCG
ITC,462.65,2024-01-11 05:30:00,466.55,461.1,2024-01,464.1,6534775,FMCG
ITC,466.7,2024-01-12 05:30:00,467.7,460.35,2024-01,463.25,9354326,FMCG
ITC,467.6,2024-01-15 05:30:00,470.5,466.1,2024-01,470.0,6902156,FMCG
ITC,472.3,2024-01-16 05:30:00,475.0,464.25,2024-01,467.8,12066347,FMCG
ITC,466.6,2024-01-17 05:30:00,477.0,465.2,2024-01,471.4,11108698,FMCG
ITC,465.5,2024-01-18 05:30:00,467.85,454.55,2024-01,465.25,9143784,FMCG
ITC,471.5,2024-01-19 05:30:00,473.0,466.4,2024-01,468.55,12203322,FMCG
ITC,468.4,2024-01-20 05:30:00,475.0,468.0,2024-01,473.4,3296407,FMCG
ITC,459.3,2024-01-23 05:30:00,473.75,456.4,2024-01,473.75,8404513,FMCG
ITC,463.6,2024-01-24 05:30:00,467.4,458.1,2024-01,460.1,21626183,FMCG
