Ticker,close,date,high,low,month,open,volume,Sector
POWERGRID,199.55,2023-10-03 05:30:00,200.0,196.9,2023-10,198.75,10830728,Power
POWERGRID,199.0,2023-10-04 05:30:00,199.4,195.4,2023-10,198.9,14120040,Power
POWERGRID,196.6,2023-10-05 05:30:00,199.5,195.35,2023-10,199.5,14575590,Power
POWERGRID,197.05,2023-10-06 05:30:00,197.45,194.85,2023-10,197.0,12857229,Power
POWERGRID,196.25,2023-10-09 05:30:00,196.9,193.75,2023-10,196.5,7853369,Power
POWERGRID,197.95,2023-10-10 05:30:00,198.55,195.7,2023-10,196.25,7440527,Power
POWERGRID,198.5,2023-10-11 05:30:00,199.15,197.35,2023-10,197.35,10031916,Power
POWERGRID,200.75,2023-10-12 05:30:00,202.0,197.35,2023-10,197.35,21872719,Power
POWERGRID,201.8,2023-10-13 05:30:00,202.4,199.3,2023-10,200.45,13105921,Power
POWERGRID,203.05,2023-10-16 05:30:00,203.85,200.1,2023-10,200.3,18336656,Power
POWERGRID,207.15,2023-10-17 05:30:00,209.0,202.6,2023-10,203.55,19378328,Power
POWERGRID,206.5,2023-10-18 05:30:00,208.45,204.0,2023-10,208.45,14923328,Power
POWERGRID,205.8,2023-10-19 05:30:00,207.4,202.2,2023-10,204.0,13192888,Power
POWERGRID,202.85,2023-10-20 05:30:00,205.2,200.9,2023-10,205.2,22081120,Power
POWERGRID,199.75,2023-10-23 05:30:00,205.15,199.0,2023-10,202.0,6988219,Power
POWERGRID,199.5,2023-10-25 05:30:00,200.45,197.8,2023-10,199.0,16817158,Power
POWERGRID,198.95,2023-10-26 05:30:00,200.0,196.3,2023-10,198.75,11070090,Power
POWERGRID,200.95,2023-10-27 05:30:00,201.8,199.15,2023-10,199.25,9995487,Power
POWERGRID,200.85,2023-10-30 05:30:00,202.2,197.65,2023-10,200.95,7679981,Power
POWERGRID,202.15,2023-10-31 05:30:00,202.95,200.55,2023-10,201.5,7474770,Power
POWERGRID,200.95,2023-11-01 05:30:00,202.35,200.5,2023-11,202.35,5598615,Power
POWERGRID,203.1,2023-11-02 05:30:00,203.65,200.9,2023-11,201.75,12924797,Power
POWERGRID,204.4,2023-11-03 05:30:00,206.5,203.1,2023-11,203.4,8684015,Power
POWERGRID,208.2,2023-11-06 05:30:00,208.95,204.95,2023-11,205.0,9804415,Power
POWERGRID,208.0,2023-11-07 05:30:00,209.1,205.75,2023-11,208.2,10730361,Power
POWERGRID,207.0,2023-11-08 05:30:00,209.6,206.65,2023-11,209.0,7435543,Power
POWERGRID,209.8,2023-11-09 05:30:00,210.5,206.1,2023-11,207.3,13777877,Power
POWERGRID,211.15,2023-11-10 05:30:00,213.0,209.6,2023-11,210.5,12066023,Power
POWERGRID,212.0,2023-11-12 05:30:00,213.7,211.7,2023-11,213.6,1008214,Power
POWERGRID,212.3,2023-11-13 05:30:00,215.1,210.7,2023-11,212.0,11352269,Power
POWERGRID,210.15,2023-11-15 05:30:00,215.0,209.8,2023-11,215.0,19182861,Power
POWERGRID,207.2,2023-11-16 05:30:00,208.85,205.7,2023-11,206.7,27533260,Power
POWERGRID,209.5,2023-11-17 05:30:00,210.7,206.9,2023-11,207.7,16705395,Power
POWERGRID,209.3,2023-11-20 05:30:00,211.2,208.85,2023-11,210.1,11156900,Power
POWERGRID,208.95,2023-11-21 05:30:00,210.15,207.95,2023-11,210.0,9608081,Power
POWERGRID,211.6,2023-11-22 05:30:00,212.6,208.2,2023-11,208.2,13079580,Power
POWERGRID,210.9,2023-11-23 05:30:00,213.1,209.25,2023-11,212.05,11382709,Power
POWERGRID,210.45,2023-11-24 05:30:00,212.1,209.5,2023-11,211.3,7250200,Power
POWERGRID,210.2,2023-11-28 05:30:00,214.45,209.5,2023-11,214.45,15629209,Power
POWERGRID,211.05,2023-11-29 05:30:00,211.45,209.1,2023-11,210.3,10062023,Power
POWERGRID,208.95,2023-11-30 05:30:00,212.8,208.25,2023-11,210.4,60354322,Power
POWERGRID,210.2,2023-12-01 05:30:00,212.45,209.45,2023-12,211.5,20719909,Power
POWERGRID,212.9,2023-12-04 05:30:00,214.1,211.7,2023-12,211.7,27914088,Power
POWERGRID,222.3,2023-12-05 05:30:00,223.25,211.55,2023-12,213.7,40709207,Power
POWERGRID,224.4,2023-12-06 05:30:00,226.25,222.5,2023-12,226.0,29544730,Power
POWERGRID,230.0,2023-12-07 05:30:00,232.4,224.25,2023-12,225.0,24534268,Power
POWERGRID,228.6,2023-12-08 05:30:00,233.4,226.45,2023-12,231.8,22206320,Power
POWERGRID,230.95,2023-12-11 05:30:00,232.9,226.55,2023-12,228.0,19106395,Power
POWERGRID,231.35,2023-12-12 05:30:00,233.3,229.5,2023-12,230.0,14355329,Power
POWERGRID,236.95,2023-12-13 05:30:00,237.5,230.6,2023-12,231.0,26878281,Power
POWERGRID,232.1,2023-12-14 05:30:00,237.6,231.1,2023-12,237.25,29972018,Power
POWERGRID,237.35,2023-12-15 05:30:00,238.1,227.15,2023-12,235.0,41341690,Power
POWERGRID,231.85,2023-12-18 05:30:00,236.9,231.45,2023-12,236.9,29051897,Power
POWERGRID,233.55,2023-12-19 05:30:00,234.4,230.85,2023-12,232.15,12612164,Power
POWERGRID,227.15,2023-12-20 05:30:00,235.4,226.2,2023-12,234.95,20400245,Power
POWERGRID,232.35,2023-12-21 05:30:00,233.2,222.7,2023-12,224.45,17755207,Power
POWERGRID,231.75,2023-12-22 05:30:00,234.2,230.5,2023-12,233.0,9735375,Power
POWERGRID,233.35,2023-12-26 05:30:00,235.8,231.05,2023-12,232.0,6772092,Power
POWERGRID,234.05,2023-12-27 05:30:00,235.85,232.5,2023-12,235.0,10231881,Power
POWERGRID,239.1,2023-12-28 05:30:00,239.95,234.1,2023-12,235.1,39164340,Power
POWERGRID,237.2,2023-12-29 05:30:00,238.25,234.75,2023-12,237.8,12665999,Power
POWERGRID,238.25,2024-01-01 05:30:00,239.5,236.4,2024-01,237.9,5952776,Power
POWERGRID,237.85,2024-01-02 05:30:00,240.1,236.15,2024-01,240.0,9128513,Power
POWERGRID,237.05,2024-01-03 05:30:00,238.7,234.6,2024-01,236.0,8284439,Power
POWERGRID,241.45,2024-01-04 05:30:00,243.1,237.05,2024-01,238.0,19663959,Power
POWERGRID,241.25,2024-01-05 05:30:00,245.0,239.3,2024-01,242.0,16345257,Power
POWERGRID,242.35,2024-01-08 05:30:00,245.25,240.4,2024-01,242.4,13585746,Power
POWERGRID,242.3,2024-01-09 05:30:00,244.65,241.5,2024-01,242.6,8688409,Power
POWERGRID,239.15,2024-01-10 05:30:00,242.1,238.0,2024-01,241.0,16872195,Power
POWERGRID,241.95,2024-01-11 05:30:00,243.1,239.2,2024-01,240.25,18812468,Power
POWERGRID,239.5,2024-01-12 05:30:00,242.65,238.8,2024-01,242.5,11296498,Power
POWERGRID,241.15,2024-01-15 05:30:00,241.5,237.0,2024-01,240.4,12597366,Power
POWERGRID,239.05,2024-01-16 05:30:00,242.4,237.7,2024-01,241.65,7478450,Power
POWERGRID,239.2,2024-01-17 05:30:00,241.2,237.7,2024-01,238.5,13620300,Power
POWERGRID,233.45,2024-01-18 05:30:00,235.7,226.05,2024-01,227.25,25522629,Power
POWERGRID,235.4,2024-01-19 05:30:00,236.95,232.4,2024-01,235.0,20931080,Power
POWERGRID,237.2,2024-01-20 05:30:00,240.8,236.5,2024-01,238.0,6491870,Power
POWERGRID,237.95,2024-01-23 05:30:00,246.8,236.25,2024-01,241.0,27492163,Power
POWERGRID,246.2,2024-01-24 05:30:00,247.0,235.0,2024-01,236.15,28309825,Power
POWERGRID,245.5,2024-01-25 05:30:00,248.7,243.1,2024-01,244.75,20651484,Power
POWERGRID,253.95,2024-01-29 05:30:00,255.0,245.15,2024-01,245.45,26181011,Power
POWERGRID,254.1,2024-01-30 05:30:00,256.95,251.5,2024-01,254.0,16031367,Power
POWERGRID,259.3,2024-01-31 05:30:00,260.0,252.4,2024-01,254.0,34369455,Power
POWERGRID,265.8,2024-02-01 05:30:00,270.95,258.3,2024-02,259.0,29929092,Power
POWERGRID,277.1,2024-02-02 05:30:00,281.4,263.95,2024-02,264.5,33900724,Power
POWERGRID,282.9,2024-02-05 05:30:00,289.4,274.9,2024-02,277.5,27440927,Power
POWERGRID,274.25,2024-02-06 05:30:00,282.9,272.3,2024-02,282.9,29668277,Power
POWERGRID,267.95,2024-02-07 05:30:00,274.4,266.8,2024-02,272.1,27335466,Power
POWERGRID,276.2,2024-02-08 05:30:00,288.05,270.8,2024-02,270.8,69776717,Power
POWERGRID,273.0,2024-02-09 05:30:00,279.45,269.1,2024-02,278.6,24496638,Power
POWERGRID,270.3,2024-02-12 05:30:00,276.0,266.25,2024-02,273.2,19140023,Power
POWERGRID,270.25,2024-02-13 05:30:00,270.85,264.25,2024-02,270.3,22031847,Power
POWERGRID,273.65,2024-02-14 05:30:00,275.0,267.0,2024-02,269.5,13546941,Power
POWERGRID,281.65,2024-02-15 05:30:00,283.35,271.35,2024-02,272.0,25475670,Power
POWERGRID,274.55,2024-02-16 05:30:00,282.9,273.3,2024-02,282.0,25129188,Power
POWERGRID,276.35,2024-02-19 05:30:00,278.3,273.3,2024-02,275.1,11429901,Power
POWERGRID,287.9,2024-02-20 05:30:00,288.75,277.7,2024-02,278.35,43053543,Power
POWERGRID,280.1,2024-02-21 05:30:00,289.45,279.25,2024-02,287.55,24651085,Power
POWERGRID,282.6,2024-02-22 05:30:00,283.5,273.25,2024-02,280.1,26793590,Power
POWERGRID,281.95,2024-02-23 05:30:00,285.2,279.0,2024-02,282.55,14313526,Power
POWERGRID,287.8,2024-02-26 05:30:00,291.5,282.05,2024-02,282.95,31012494,Power
POWERGRID,292.5,2024-02-27 05:30:00,293.4,284.1,2024-02,284.1,36510093,Power
POWERGRID,279.55,2024-02-28 05:30:00,293.65,278.4,2024-02,291.5,18824161,Power
POWERGRID,282.85,2024-02-29 05:30:00,285.0,274.4,2024-02,279.6,35043015,Power
POWERGRID,287.7,2024-03-01 05:30:00,289.4,284.6,2024-03,285.0,15149735,Power
POWERGRID,286.85,2024-03-02 05:30:00,289.8,286.2,2024-03,289.0,494394,Power
POWERGRID,294.65,2024-03-04 05:30:00,297.0,288.0,2024-03,288.0,23131460,Power
POWERGRID,295.0,2024-03-05 05:30:00,295.45,289.75,2024-03,292.05,13220556,Power
POWERGRID,293.7,2024-03-06 05:30:00,294.9,286.5,2024-03,290.3,15969436,Power
POWERGRID,292.65,2024-03-07 05:30:00,298.9,291.0,2024-03,294.0,14908694,Power
POWERGRID,285.55,2024-03-11 05:30:00,291.95,284.4,2024-03,288.4,19020659,Power
POWERGRID,285.15,2024-03-12 05:30:00,288.65,282.75,2024-03,284.9,17906155,Power
POWERGRID,264.3,2024-03-13 05:30:00,283.9,261.8,2024-03,283.3,39389523,Power
POWERGRID,266.35,2024-03-14 05:30:00,268.4,260.7,2024-03,264.05,26005940,Power
POWERGRID,265.95,2024-03-15 05:30:00,272.0,257.65,2024-03,268.1,43817794,Power
POWERGRID,264.9,2024-03-18 05:30:00,266.65,259.5,2024-03,265.95,12423655,Power
POWERGRID,259.0,2024-03-19 05:30:00,266.5,258.3,2024-03,262.15,20031514,Power
POWERGRID,264.65,2024-03-20 05:30:00,265.15,258.95,2024-03,259.95,11308487,Power
POWERGRID,273.75,2024-03-21 05:30:00,274.5,267.1,2024-03,267.8,23559105,Power
POWERGRID,275.75,2024-03-22 05:30:00,278.25,271.35,2024-03,273.75,22097588,Power
POWERGRID,270.05,2024-03-26 05:30:00,274.1,266.1,2024-03,270.1,28477120,Power
