Ticker,close,date,high,low,month,open,volume,Sector
HINDALCO,479.95,2023-10-03 05:30:00,484.55,476.6,2023-10,483.1,4657602,Metals
HINDALCO,473.4,2023-10-04 05:30:00,477.9,470.0,2023-10,474.0,3302259,Metals
HINDALCO,470.55,2023-10-05 05:30:00,482.4,468.35,2023-10,473.4,4801287,Metals
HINDALCO,472.6,2023-10-06 05:30:00,476.45,469.35,2023-10,475.0,3134022,Metals
HINDALCO,469.8,2023-10-09 05:30:00,473.5,464.6,2023-10,472.45,2681298,Metals
HINDALCO,480.65,2023-10-10 05:30:00,484.8,467.0,2023-10,473.0,7863825,Metals
HINDALCO,483.9,2023-10-11 05:30:00,485.95,480.1,2023-10,485.65,7006735,Metals
HINDALCO,484.4,2023-10-12 05:30:00,494.0,482.55,2023-10,483.1,6895255,Metals
HINDALCO,480.6,2023-10-13 05:30:00,487.5,477.5,2023-10,479.0,4652247,Metals
HINDALCO,483.4,2023-10-16 05:30:00,486.5,475.3,2023-10,479.75,5043158,Metals
HINDALCO,484.35,2023-10-17 05:30:00,488.45,480.7,2023-10,486.5,4495043,Metals
HINDALCO,485.05,2023-10-18 05:30:00,494.8,483.55,2023-10,487.8,7437952,Metals
HINDALCO,479.95,2023-10-19 05:30:00,482.25,471.0,2023-10,478.45,6035837,Metals
HINDALCO,471.75,2023-10-20 05:30:00,479.85,470.0,2023-10,475.0,2777724,Metals
HINDALCO,456.7,2023-10-23 05:30:00,473.95,455.0,2023-10,470.8,2994345,Metals
HINDALCO,461.2,2023-10-25 05:30:00,473.0,459.4,2023-10,466.0,7854105,Metals
HINDALCO,456.65,2023-10-26 05:30:00,458.45,448.75,2023-10,456.7,6625855,Metals
HINDALCO,456.15,2023-10-27 05:30:00,464.4,454.45,2023-10,458.0,6193726,Metals
HINDALCO,456.65,2023-10-30 05:30:00,461.75,454.0,2023-10,458.75,7523779,Metals
HINDALCO,459.5,2023-10-31 05:30:00,465.0,453.25,2023-10,465.0,5236060,Metals
HINDALCO,462.7,2023-11-01 05:30:00,466.0,456.0,2023-11,458.5,4931538,Metals
HINDALCO,474.2,2023-11-02 05:30:00,475.8,463.25,2023-11,463.25,3933951,Metals
HINDALCO,475.2,2023-11-03 05:30:00,481.45,474.25,2023-11,478.95,3274345,Metals
HINDALCO,481.95,2023-11-06 05:30:00,484.8,478.25,2023-11,480.0,4294682,Metals
HINDALCO,484.55,2023-11-07 05:30:00,491.5,480.3,2023-11,482.0,5425669,Metals
HINDALCO,488.05,2023-11-08 05:30:00,491.45,478.15,2023-11,491.45,8220612,Metals
